595506.04	3351029.75	23.91
595506.23	3351029.89	35.53
595506.38	3351029.78	32.57
595506.80	3351029.48	23.85
595506.69	3351029.80	39.96
595507.48	3351029.23	23.72
595507.38	3351029.57	40.91
595508.15	3351029.02	25.13
595507.71	3351029.61	49.60
595502.62	3351029.97	24.14
595503.27	3351029.73	24.17
595503.52	3351029.81	33.46
595503.96	3351029.49	24.37
595504.22	3351029.57	34.02
595504.70	3351029.22	24.17
595505.14	3351029.17	29.85
595505.42	3351028.96	24.11
595505.57	3351029.11	35.59
595505.86	3351028.91	29.75
595506.11	3351028.73	24.60
595506.20	3351028.92	37.23
595506.87	3351028.44	23.65
595506.85	3351028.73	39.66
595507.00	3351028.62	36.45
595507.26	3351028.43	31.10
595507.63	3351028.17	23.72
595507.66	3351028.41	37.53
595508.32	3351027.92	23.78
595500.32	3351029.88	24.54
595501.06	3351029.87	39.00
595501.77	3351029.36	24.17
595501.72	3351029.66	40.09
595502.31	3351029.23	27.88
595502.48	3351029.10	24.24
595502.74	3351029.19	33.98
595503.21	3351028.85	24.24
595503.72	3351028.74	28.60
595503.93	3351028.59	24.27
595504.39	3351028.51	29.33
595504.63	3351028.34	24.31
595505.09	3351028.27	29.49
595505.36	3351028.08	24.01
595505.96	3351027.92	27.49
595506.14	3351027.79	23.88
595506.84	3351027.54	23.81
595506.85	3351027.79	38.09
595507.09	3351027.62	33.33
595507.55	3351027.29	23.75
595507.51	3351027.56	38.25
595507.77	3351027.37	32.87
595508.17	3351027.33	38.48
595500.41	3351029.17	24.67
595500.11	3351029.64	45.14
595500.94	3351029.32	43.79
595501.14	3351029.17	39.59
595501.87	3351028.65	24.44
595502.12	3351028.72	33.79
595502.34	3351028.56	29.26
595502.57	3351028.40	24.44
595503.15	3351028.23	27.03
595503.28	3351028.14	24.24
595503.74	3351028.07	29.75
595504.00	3351027.88	24.37
595504.45	3351027.83	30.28
595504.73	3351027.63	24.50
595505.30	3351027.49	28.14
595505.50	3351027.34	23.95
595506.19	3351027.10	23.98
595506.89	3351026.84	23.81
595506.85	3351027.10	37.72
595507.15	3351026.89	31.52
595507.28	3351026.80	28.96
595507.53	3351026.61	23.81
595507.55	3351026.86	38.15
595507.82	3351026.67	32.57
595508.26	3351026.35	23.68
595508.27	3351026.61	38.25
595500.10	3351028.19	24.50
595500.47	3351028.45	46.94
595501.14	3351027.96	32.97
595501.55	3351027.66	24.37
595501.30	3351028.11	44.45
595502.09	3351027.54	27.98
595502.26	3351027.41	24.34
595502.11	3351027.80	43.24
595503.02	3351027.14	24.31
595503.52	3351027.04	28.80
595503.74	3351026.88	24.27
595504.16	3351026.83	29.88
595504.29	3351026.74	27.23
595504.41	3351026.65	24.63
595503.38	3351027.64	60.03
595504.84	3351026.59	29.88
595505.12	3351026.38	24.11
595505.79	3351026.15	24.11
595504.96	3351027.01	55.74
595506.50	3351025.89	24.11
595505.69	3351026.74	55.21
595505.85	3351026.62	51.83
595507.21	3351025.64	24.04
595500.07	3351027.36	36.90
595500.65	3351026.94	24.90
595500.34	3351027.43	46.25
595501.39	3351026.67	24.31
595501.14	3351027.13	45.57
595502.15	3351026.40	24.57
595502.43	3351026.44	32.31
595502.79	3351026.18	24.80
595503.47	3351025.95	25.39
595502.38	3351026.98	61.77
595503.96	3351025.83	28.96
595504.16	3351025.69	24.96
595503.05	3351026.74	61.67
595504.15	3351025.95	38.94
595503.63	3351026.61	65.58
595503.85	3351026.44	60.95
595504.30	3351026.36	65.09
595505.61	3351025.68	53.67
595500.06	3351026.53	28.18
595500.24	3351026.40	24.47
595500.74	3351026.30	28.87
595500.95	3351026.15	24.57
595501.48	3351026.02	28.08
595501.67	3351025.89	24.27
595500.90	3351026.70	54.62
595502.06	3351025.85	30.47
595502.35	3351025.65	24.54
595501.50	3351026.50	55.54
595501.93	3351026.45	61.38
595502.76	3351025.85	44.22
595502.98	3351025.69	39.63
595502.38	3351026.38	66.60
595503.07	3351026.14	67.06
595503.41	3351025.90	60.07
595503.82	3351025.86	66.56
595504.45	3351025.65	66.96
595501.64	3351025.45	56.88
595501.98	3351025.48	65.15
595509.00	3351026.09	23.65
595509.27	3351026.14	32.08
595509.46	3351026.01	28.24
595509.68	3351025.85	23.68
595510.01	3351025.87	31.69
595510.42	3351025.58	23.39
595510.13	3351026.03	42.78
595510.49	3351025.77	35.49
595510.66	3351025.64	31.92
595510.78	3351025.82	44.25
595511.57	3351025.51	42.74
595508.92	3351026.80	23.45
595509.36	3351026.74	29.03
595509.62	3351026.55	23.81
595509.75	3351026.72	35.49
595509.97	3351026.56	31.06
595510.14	3351026.69	41.99
595510.39	3351026.51	36.74
595510.57	3351026.38	33.07
595511.03	3351026.05	23.85
595510.81	3351026.46	42.65
595511.68	3351025.84	25.09
595511.40	3351026.29	44.91
595512.43	3351025.56	24.31
595512.56	3351026.41	23.39
595512.07	3351027.01	47.40
595512.30	3351026.85	42.81
595513.10	3351026.28	26.80
595513.28	3351026.15	23.12
595513.59	3351026.18	30.90
595513.82	3351026.00	26.01
595513.98	3351025.89	22.96
595514.52	3351025.76	26.27
595514.67	3351025.65	23.19
595515.24	3351025.50	26.04
595515.23	3351025.78	41.69
595508.38	3351028.16	37.72
595508.92	3351028.01	40.35
595509.75	3351027.41	23.45
595510.41	3351027.18	23.72
595510.32	3351027.49	39.46
595510.51	3351027.36	35.85
595510.68	3351027.24	32.41
595511.11	3351026.93	23.72
595511.05	3351027.23	39.36
595511.82	3351026.68	23.65
595511.40	3351027.24	46.68
595508.36	3351029.15	36.45
595508.95	3351028.73	24.57
595508.89	3351029.02	40.09
595509.72	3351028.43	23.35
595509.59	3351028.78	40.22
