595500.44	3355514.34	40.61
595500.22	3355515.18	88.58
595500.76	3355514.79	77.16
595505.69	3355513.94	82.84
595505.93	3355513.99	91.96
595500.05	3355515.45	41.43
595500.73	3355515.18	40.68
595501.38	3355514.95	41.96
595502.77	3355514.40	40.97
595503.50	3355514.11	40.51
595500.66	3355516.03	40.68
595500.14	3355516.86	80.97
595500.57	3355516.78	86.31
595500.87	3355516.56	80.08
595502.73	3355515.23	40.61
595502.49	3355515.62	59.35
595503.36	3355515.00	41.07
595504.07	3355514.71	40.81
595504.80	3355514.43	40.45
595505.36	3355514.26	42.91
595505.47	3355514.18	40.61
595505.11	3355514.89	77.23
595505.98	3355514.73	88.32
595506.55	3355514.57	91.96
595506.75	3355514.43	87.82
595507.22	3355514.30	91.50
595507.78	3355514.15	95.11
595507.93	3355514.04	91.99
595508.36	3355513.98	98.32
595500.14	3355518.31	81.59
595502.03	3355516.96	41.53
595500.82	3355518.06	82.21
595501.87	3355517.32	60.17
595502.77	3355516.67	41.04
595501.65	3355517.72	80.24
595502.46	3355517.13	62.99
595502.39	3355517.41	79.16
595504.23	3355516.10	40.41
595502.87	3355517.28	82.64
595504.85	3355515.87	40.94
595503.47	3355517.08	84.54
595505.53	3355515.62	41.30
595506.24	3355515.33	40.28
595506.95	3355515.06	40.61
595507.60	3355514.82	41.24
595506.00	3355516.19	89.33
595508.30	3355514.56	41.60
595506.70	3355515.92	89.36
595508.96	3355514.32	42.38
595507.26	3355515.73	90.84
595509.65	3355514.04	41.43
595507.78	3355515.60	95.34
595508.43	3355515.38	97.07
595509.22	3355515.04	94.75
595510.69	3355514.45	93.56
595511.29	3355514.28	96.94
595511.86	3355514.08	98.42
595500.59	3355518.46	42.68
595500.64	3355519.11	86.08
595502.64	3355517.69	43.99
595502.79	3355517.58	40.78
595501.41	3355518.82	86.15
595503.54	3355517.30	41.24
595501.92	3355518.68	90.22
595502.61	3355518.43	91.01
595503.38	3355518.10	88.58
595503.57	3355517.96	84.61
595504.26	3355517.69	83.95
595506.34	3355516.21	40.35
595507.05	3355515.94	40.48
595507.68	3355515.71	41.04
595506.09	3355517.07	89.43
595508.40	3355515.44	41.46
595506.77	3355516.80	88.97
595509.10	3355515.16	40.68
595507.18	3355516.75	95.40
595507.50	3355516.52	88.71
595509.82	3355514.88	40.71
595507.86	3355516.49	95.60
595508.42	3355516.30	97.44
