595534.02,3349550.96,11.12,2
595530.25,3349551.38,10.10,2
595531.01,3349551.12,10.33,2
595531.67,3349550.89,10.36,2
595530.29,3349554.14,11.38,2
595531.03,3349553.89,11.38,2
595531.74,3349553.64,11.31,2
595532.39,3349553.42,11.38,2
595533.10,3349553.19,11.71,2
595533.74,3349552.97,12.07,2
595534.50,3349552.71,12.23,2
595535.21,3349552.47,12.00,2
595535.93,3349552.22,11.81,2
595536.67,3349551.97,11.67,2
595537.34,3349551.73,11.35,2
595538.15,3349551.44,10.62,2
595538.89,3349551.19,10.23,2
595539.60,3349550.94,10.30,2
595530.59,3349553.15,10.79,2
595531.25,3349552.93,10.95,2
595531.97,3349552.69,11.22,2
595532.68,3349552.45,11.51,2
595533.38,3349552.21,11.64,2
595534.10,3349551.97,11.81,2
595534.80,3349551.73,11.58,2
595535.51,3349551.48,11.45,2
595536.26,3349551.22,11.25,2
595537.04,3349550.95,10.95,2
595530.48,3349552.16,10.59,2
595531.18,3349551.92,10.66,2
595531.87,3349551.69,10.89,2
595532.62,3349551.44,11.05,2
595533.32,3349551.20,10.95,2
595541.99,3349552.69,11.28,2
595542.74,3349552.43,11.22,2
595543.50,3349552.17,11.12,2
595544.19,3349551.94,11.35,2
595544.89,3349551.70,11.54,2
595545.66,3349551.44,11.64,2
595546.40,3349551.19,11.71,2
595547.07,3349550.96,12.00,2
595530.23,3349555.88,12.56,2
595530.92,3349555.65,12.95,2
595531.63,3349555.41,13.02,2
595532.38,3349555.15,12.92,2
595533.14,3349554.89,12.82,2
595533.87,3349554.64,12.86,2
595534.54,3349554.41,12.92,2
595535.25,3349554.17,13.18,2
595535.93,3349553.94,13.18,2
595536.63,3349553.70,12.99,2
595537.42,3349553.41,11.97,2
595538.12,3349553.16,11.41,2
595538.93,3349552.89,11.08,2
595539.60,3349552.66,10.99,2
595540.30,3349552.41,10.99,2
595541.04,3349552.16,10.79,2
595541.80,3349551.90,10.69,2
595542.50,3349551.66,10.62,2
595543.23,3349551.41,10.69,2
595543.99,3349551.15,10.92,2
595544.69,3349550.92,11.15,2
595530.02,3349554.76,11.51,2
595530.76,3349554.51,11.97,2
595531.48,3349554.27,12.07,2
595532.25,3349554.00,11.67,2
595532.95,3349553.77,11.94,2
595533.59,3349553.55,12.20,2
595534.29,3349553.31,12.43,2
595534.95,3349553.09,12.46,2
595535.73,3349552.82,12.36,2
595536.43,3349552.58,12.23,2
595537.18,3349552.31,11.58,2
595537.92,3349552.05,11.08,2
595538.61,3349551.81,10.69,2
595539.39,3349551.54,10.56,2
595540.12,3349551.29,10.43,2
595540.82,3349551.05,10.36,2
595541.60,3349550.78,10.20,2
595546.42,3349552.65,12.30,2
595547.07,3349552.42,12.27,2
595547.85,3349552.16,12.30,2
595548.57,3349551.91,12.36,2
595549.35,3349551.65,12.20,2
595550.07,3349551.39,11.97,2
595550.72,3349551.17,12.10,2
595551.43,3349550.94,12.33,2
595530.43,3349557.52,13.48,2
595531.17,3349557.28,14.04,2
595531.82,3349557.06,14.17,2
595532.54,3349556.82,14.40,2
595533.24,3349556.58,14.37,2
595534.04,3349556.30,13.94,2
595534.73,3349556.06,13.74,2
595535.47,3349555.81,13.64,2
595536.24,3349555.54,13.64,2
595536.96,3349555.29,13.48,2
595537.73,3349555.02,12.59,2
595538.39,3349554.79,12.49,2
595539.13,3349554.53,12.13,2
595539.84,3349554.28,12.04,2
595540.55,3349554.04,12.04,2
595541.26,3349553.80,12.10,2
595541.98,3349553.55,12.07,2
595542.71,3349553.30,12.00,2
595543.39,3349553.07,11.97,2
595544.13,3349552.82,11.87,2
595544.90,3349552.55,11.84,2
595545.55,3349552.33,11.97,2
595546.32,3349552.07,12.13,2
595547.04,3349551.82,12.07,2
595547.82,3349551.56,12.07,2
595548.50,3349551.32,11.90,2
595549.18,3349551.09,11.90,2
595549.91,3349550.84,11.87,2
595530.49,3349556.64,12.82,2
595531.11,3349556.44,13.32,2
595531.87,3349556.18,13.77,2
595532.61,3349555.93,13.68,2
595533.32,3349555.68,13.38,2
595534.05,3349555.43,13.38,2
595534.79,3349555.18,13.41,2
595535.55,3349554.92,13.61,2
595536.21,3349554.70,13.77,2
595536.93,3349554.45,13.45,2
595537.67,3349554.18,12.30,2
595538.40,3349553.92,11.64,2
595539.17,3349553.65,11.54,2
595539.84,3349553.42,11.41,2
595540.60,3349553.17,11.51,2
595541.28,3349552.93,11.41,2
595530.48,3349559.10,14.33,2
595531.16,3349558.87,14.43,2
595531.85,3349558.63,14.56,2
595532.59,3349558.39,14.86,2
595533.24,3349558.17,15.58,1
595533.98,3349557.91,15.05,2
595534.72,3349557.66,14.79,2
595535.41,3349557.42,14.53,2
595536.19,3349557.15,14.10,2
595536.93,3349556.89,13.97,2
595537.61,3349556.65,13.81,2
595538.41,3349556.37,13.28,2
595539.16,3349556.11,12.89,2
595539.93,3349555.85,12.89,2
595540.60,3349555.62,12.95,2
595541.29,3349555.38,12.82,2
595542.00,3349555.14,12.86,2
595542.67,3349554.91,12.72,2
595543.45,3349554.64,12.63,2
595544.13,3349554.41,12.53,2
595544.86,3349554.16,12.69,2
595545.56,3349553.92,12.82,2
595546.27,3349553.68,12.59,2
595547.01,3349553.42,12.76,2
595547.72,3349553.18,12.72,2
595548.45,3349552.93,12.72,2
595549.19,3349552.68,12.66,2
595549.94,3349552.43,12.79,2
595550.69,3349552.17,12.49,2
595551.37,3349551.94,12.72,2
595552.07,3349551.70,12.79,2
595552.74,3349551.47,12.99,1
595553.43,3349551.25,13.45,1
595554.25,3349550.94,11.84,2
595554.82,3349550.99,27.59,1
595554.99,3349550.89,24.67,1
595530.50,3349558.10,13.91,2
595531.25,3349557.85,14.10,2
595531.90,3349557.63,14.33,2
595532.66,3349557.38,14.73,2
595533.32,3349557.15,14.63,2
595534.04,3349556.91,14.56,2
595534.79,3349556.64,14.10,2
595535.53,3349556.39,14.04,2
595536.27,3349556.13,13.77,2
595537.00,3349555.88,13.38,2
595537.80,3349555.60,12.92,2
595538.54,3349555.34,12.56,2
595539.27,3349555.08,12.30,2
595539.96,3349554.85,12.30,2
595540.62,3349554.62,12.40,2
595541.34,3349554.38,12.33,2
595542.07,3349554.13,12.23,2
595542.79,3349553.88,12.23,2
595543.51,3349553.63,12.17,2
595544.21,3349553.40,12.17,2
595544.92,3349553.15,12.07,2
595545.63,3349552.91,12.13,2
595542.80,3349556.41,13.94,2
595543.46,3349556.19,13.87,2
595544.19,3349555.94,13.77,2
595544.86,3349555.70,13.48,2
595545.57,3349555.46,13.64,2
595546.32,3349555.20,13.45,2
595547.00,3349554.97,13.35,2
595547.78,3349554.70,13.28,2
595548.45,3349554.47,13.09,2
595549.18,3349554.22,13.15,2
595549.90,3349553.98,13.09,2
