596464.55,3348029.28,0.29,1
596460.82,3348029.92,-0.49,1
596466.40,3348002.42,-0.32,1
596461.70,3348008.22,0.29,1
596461.04,3348008.34,0.42,1
596461.48,3348008.91,0.39,1
596466.13,3348010.05,-0.59,1
596463.17,3348010.90,0.22,1
596464.13,3348016.46,-0.06,1
596462.67,3348020.00,-0.16,1
596467.49,3348019.64,0.32,1
596462.36,3348023.78,-0.13,1
596471.69,3348029.39,0.68,1
596469.52,3348029.77,0.13,1
596471.64,3348007.13,0.36,1
596468.36,3348017.93,0.26,1
596472.49,3348024.55,0.85,1
596474.11,3348008.65,0.29,1
596475.31,3348020.91,0.55,1
596476.23,3348027.66,0.78,1
596480.75,3348028.61,0.39,1
596479.95,3348028.75,0.39,1
596484.93,3348026.16,0.68,1
596480.91,3348001.13,0.03,1
596482.15,3348007.24,-0.19,1
596482.92,3348007.44,-0.19,1
596482.39,3348014.76,-0.16,1
596477.43,3348017.44,0.52,1
596476.97,3348017.99,0.52,1
596488.47,3348004.18,0.72,1
596486.50,3348006.48,0.09,1
596485.82,3348006.93,0.00,1
596489.98,3348019.66,1.64,1
596484.10,3348022.54,0.85,1
