File Name, X-Value Mean, Y-Value Mean
16REU955495.txt,595545.3565642077,3349545.687103825
16REU955510.txt,595544.8545909732,3351045.0254513402
16REU955525.txt,595545.5148569295,3352545.509022145
16REU955540.txt,595545.3539281365,3354045.82637028
16REU955555.txt,595545.1061277955,3355545.0423833868
16REU955570.txt,595545.0530097089,3357044.9939266453
595500_3348000.txt,595513.8380519481,3348016.0254545454
595500_3348030.txt,595514.528205128,3348043.8838461535
595500_3348060.txt,595515.2890322581,3348074.328387097
595500_3348090.txt,595513.7644444444,3348105.733555555
595500_3348120.txt,595513.6409302325,3348134.220232558
595530_3348000.txt,595544.2067272727,3348011.915090909
595530_3348030.txt,595543.4069387754,3348043.422244898
595530_3348060.txt,595548.5946153846,3348075.7865384617
595530_3348090.txt,595546.1152631579,3348105.832894737
595530_3348120.txt,595541.6449999999,3348136.1113333334
595560_3348000.txt,595575.6647368424,3348015.9507894744
595560_3348030.txt,595573.02,3348040.894090909
595560_3348060.txt,595576.4281481481,3348077.504814815
595560_3348090.txt,595576.178125,3348103.0153125003
595560_3348120.txt,595575.2016216216,3348134.7605405403
595590_3348000.txt,595605.2477142857,3348014.8019999997
595590_3348030.txt,595607.3478571429,3348039.9346428574
595590_3348060.txt,595603.3275757575,3348078.2181818183
595590_3348090.txt,595602.9289285714,3348106.5257142857
595590_3348120.txt,595603.34525,3348135.867
595620_3348000.txt,595633.6455172413,3348013.1124137933
595620_3348030.txt,595635.8631249999,3348042.935625
595620_3348060.txt,595636.2176923077,3348073.952307692
595620_3348090.txt,595635.3128,3348108.5624
595620_3348120.txt,595633.8470833333,3348137.297083333
595650_3348000.txt,595668.5761904763,3348014.993333333
595650_3348030.txt,595670.125,3348040.6550000003
595650_3348060.txt,595658.941875,3348075.371875
595650_3348090.txt,595666.8269565218,3348105.913043478
595650_3348120.txt,595665.854516129,3348135.4961290327
595680_3348000.txt,595692.515,3348006.41
595680_3348030.txt,595696.1551999999,3348042.3056
595680_3348060.txt,595692.6082352942,3348072.1082352945
595680_3348090.txt,595693.7063157894,3348106.9594736844
595680_3348120.txt,595697.5027777778,3348133.7811111114
595710_3348000.txt,595725.5828571428,3348019.967142857
595710_3348030.txt,595728.1333333333,3348045.622222222
595710_3348060.txt,595726.6623076922,3348071.762307692
595710_3348090.txt,595726.0144444444,3348104.1877777777
595710_3348120.txt,595728.0846666667,3348134.7413333333
595740_3348000.txt,595751.65,3348013.5342857144
595740_3348030.txt,595754.8,3348042.3244444444
595740_3348060.txt,595753.8057142857,3348077.4785714285
595740_3348090.txt,595755.4654545456,3348102.1627272726
595740_3348120.txt,595755.0430000001,3348134.414
595770_3348000.txt,595787.4042857143,3348016.7657142854
595770_3348030.txt,595777.0833333334,3348041.9333333336
595770_3348060.txt,595781.8520000001,3348079.0540000005
595770_3348090.txt,595782.5925,3348106.82375
595770_3348120.txt,595784.4571428571,3348136.6714285715
595800_3348000.txt,595816.1258333334,3348017.9116666666
595800_3348030.txt,595814.5242857144,3348045.444285714
595800_3348060.txt,595812.9971428572,3348074.567142857
595800_3348090.txt,595816.1075,3348110.595
595800_3348120.txt,595813.34875,3348131.74625
595830_3348000.txt,595841.254,3348016.2939999998
595830_3348030.txt,595844.5771428571,3348048.9899999998
595830_3348060.txt,595843.78125,3348075.545
